measure_name,location,location_name,sex_name,age_name,metric_name,year,val,lower,upper
Prevalence,35,Georgia,Male,All ages,Number,2017,385117.95138737146,332738.1052281386,440167.7353574321
Prevalence,35,Georgia,Female,All ages,Number,2017,395074.5350470318,341712.0931626145,448366.0086302382
Prevalence,35,Georgia,Both,All ages,Number,2017,780192.4864344031,674683.5258293388,887318.3432468264
Prevalence,35,Georgia,Male,All ages,Rate,2017,21426.7335896904,18512.48613620321,24489.52786102277
Prevalence,35,Georgia,Female,All ages,Rate,2017,20110.097240380408,17393.84043290981,22822.74161700129
Prevalence,35,Georgia,Both,All ages,Rate,2017,20739.158590582378,17934.508321882407,23586.7893640321
Prevalence,35,Georgia,Male,Age-standardized,Rate,2017,19870.725196615214,17354.512997871498,22682.92086886488
Prevalence,35,Georgia,Female,Age-standardized,Rate,2017,18325.91478716477,15958.22428733549,20874.62277366031
Prevalence,35,Georgia,Both,Age-standardized,Rate,2017,19075.65290108011,16604.7955288453,21703.58561714635
Prevalence,35,Georgia,Male,<20 years,Number,2017,54393.649574968586,42707.23420835103,68285.44073855315
Prevalence,35,Georgia,Female,<20 years,Number,2017,44787.92801109029,34599.642751224885,56529.966496080015
Prevalence,35,Georgia,Both,<20 years,Number,2017,99181.5775860588,77442.56187650314,122906.76227344044
Prevalence,35,Georgia,Male,<20 years,Rate,2017,10999.05222960906,8635.91804025536,13808.14001402946
Prevalence,35,Georgia,Female,<20 years,Rate,2017,10052.87069957152,7766.059969179711,12688.42898236964
Prevalence,35,Georgia,Both,<20 years,Rate,2017,10550.62446507118,8238.09630637365,13074.43503648324
Prevalence,35,Georgia,Male,55+ years,Number,2017,106134.84595836584,85040.86562715954,132612.0348427895
Prevalence,35,Georgia,Female,55+ years,Number,2017,135710.33696132895,109816.00936049246,169423.86283934594
Prevalence,35,Georgia,Both,55+ years,Number,2017,241845.18291969472,193711.89198468425,299237.88246815774
Prevalence,35,Georgia,Male,55+ years,Rate,2017,24585.10193566691,19698.88712102352,30718.28450936011
Prevalence,35,Georgia,Female,55+ years,Rate,2017,21595.62731661939,17475.05506690592,26960.470973284413
Prevalence,35,Georgia,Both,55+ years,Rate,2017,22813.00668543543,18272.642992282952,28226.80084369672
Prevalence,35,Georgia,Male,20-54 years,Number,2017,224589.455854037,180607.99915453675,272685.54373545473
