measure_name,location,location_name,sex_name,age_name,metric_name,year,val,lower,upper
Prevalence,27,Samoa,Male,Age-standardized,Rate,2021,34271.21793310775,30373.31495936168,37786.49676244622
Prevalence,27,Samoa,Female,Age-standardized,Rate,2021,33040.16370384581,29156.47054925184,36892.97384745258
Prevalence,27,Samoa,Both,Age-standardized,Rate,2021,33653.28254286299,29773.42289154497,37297.49684166628
Prevalence,27,Samoa,Male,<20 years,Number,2021,10336.760085963771,8052.741065709269,12819.222634137475
Prevalence,27,Samoa,Female,<20 years,Number,2021,9165.276597147818,6986.448051790026,11416.45543449658
Prevalence,27,Samoa,Both,<20 years,Number,2021,19502.036683111583,15085.18190110896,24077.17443347161
Prevalence,27,Samoa,Male,<20 years,Rate,2021,19405.4625021456,15117.615528515898,24065.85255579307
Prevalence,27,Samoa,Female,<20 years,Rate,2021,18842.99405399764,14363.5162237668,23471.21765391045
Prevalence,27,Samoa,Both,<20 years,Rate,2021,19136.99750991303,14802.81742717176,23626.497819999586
Prevalence,27,Samoa,Male,55+ years,Number,2021,6050.784354682548,5024.768435734697,7059.730239810826
Prevalence,27,Samoa,Female,55+ years,Number,2021,5764.169797400688,4779.424219693908,6760.999971397415
Prevalence,27,Samoa,Both,55+ years,Number,2021,11814.954152083234,9808.636606366235,13858.446717648492
Prevalence,27,Samoa,Male,55+ years,Rate,2021,43726.97870975393,36312.30755080214,51018.29048888815
Prevalence,27,Samoa,Female,55+ years,Rate,2021,41430.1735846064,34352.28003617847,48594.925594805885
Prevalence,27,Samoa,Both,55+ years,Rate,2021,42575.45878484318,35345.64740534487,49939.23120261564
Prevalence,27,Samoa,Male,20-54 years,Number,2021,17883.29642290912,15177.400873260814,20233.63811161596
Prevalence,27,Samoa,Female,20-54 years,Number,2021,17235.03441209259,14417.466218944051,19889.423442134816
Prevalence,27,Samoa,Both,20-54 years,Number,2021,35118.33083500171,29291.061229706127,40085.7584951573
Prevalence,27,Samoa,Male,20-54 years,Rate,2021,42277.917401406776,35880.9072619162,47834.36233361389
Prevalence,27,Samoa,Female,20-54 years,Rate,2021,40853.37748171748,34174.70343773556,47145.25682670792
Prevalence,27,Samoa,Both,20-54 years,Rate,2021,41566.59031383102,34669.34541145809,47446.11321693797
Prevalence,44,Bosnia and Herzegovina,Male,Age-standardized,Rate,2021,14010.21315437064,12193.35030875362,16071.5163109091
Prevalence,44,Bosnia and Herzegovina,Female,Age-standardized,Rate,2021,12882.5600814663,11215.1924497379,14721.580318581582
Prevalence,44,Bosnia and Herzegovina,Both,Age-standardized,Rate,2021,13444.41788850984,11685.75967481851,15370.35417965463
