measure_name,location,location_name,sex_name,age_name,metric_name,year,val,lower,upper
Prevalence,19,Timor-Leste,Male,All ages,Number,2013,205293.2104618943,183725.840730642,226031.3067358237
Prevalence,19,Timor-Leste,Female,All ages,Number,2013,196633.66623847213,174779.6495457431,219543.72551271063
Prevalence,19,Timor-Leste,Both,All ages,Number,2013,401926.8767003664,359105.1611092573,444240.0696930828
Prevalence,19,Timor-Leste,Male,All ages,Rate,2013,34037.21096763539,30461.38343827881,37475.546586990335
Prevalence,19,Timor-Leste,Female,All ages,Rate,2013,33852.49852630839,30090.10583925293,37796.699754180576
Prevalence,19,Timor-Leste,Both,All ages,Rate,2013,33946.59339023326,30329.88733818366,37520.34981418352
Prevalence,19,Timor-Leste,Male,Age-standardized,Rate,2013,38400.56879995009,35056.40083588591,41525.51572805241
Prevalence,19,Timor-Leste,Female,Age-standardized,Rate,2013,37770.94622293452,34069.09679583681,41235.74693716821
Prevalence,19,Timor-Leste,Both,Age-standardized,Rate,2013,38087.25238297121,34590.71910468466,41317.13615641337
Prevalence,19,Timor-Leste,Male,<20 years,Number,2013,66741.61192975903,50986.89260064688,81543.6777140257
Prevalence,19,Timor-Leste,Female,<20 years,Number,2013,63348.229694238704,49335.293666778656,78754.62365808968
Prevalence,19,Timor-Leste,Both,<20 years,Number,2013,130089.8416239978,101834.61378922556,159157.06043184496
Prevalence,19,Timor-Leste,Male,<20 years,Rate,2013,21144.15117212357,16152.95965700538,25833.53621322266
Prevalence,19,Timor-Leste,Female,<20 years,Rate,2013,21272.9353630423,16567.25875933264,26446.54833616652
Prevalence,19,Timor-Leste,Both,<20 years,Rate,2013,21206.6682504714,16600.62649076674,25945.07717254182
Prevalence,19,Timor-Leste,Male,55+ years,Number,2013,29500.441454957578,25086.05598699847,33116.50850085821
Prevalence,19,Timor-Leste,Female,55+ years,Number,2013,29686.02684930687,25243.93366060176,33808.87050492259
Prevalence,19,Timor-Leste,Both,55+ years,Number,2013,59186.46830426448,50414.319721120526,66599.03939626389
Prevalence,19,Timor-Leste,Male,55+ years,Rate,2013,48844.14613110749,41535.20842570927,54831.30084808109
Prevalence,19,Timor-Leste,Female,55+ years,Rate,2013,48145.22556275094,40940.97490210858,54831.71273623446
Prevalence,19,Timor-Leste,Both,55+ years,Rate,2013,48491.07189370913,41304.11007972163,54564.14109411414
Prevalence,19,Timor-Leste,Male,20-54 years,Number,2013,109051.15707717776,96019.48083910314,120434.55009150814
Prevalence,19,Timor-Leste,Female,20-54 years,Number,2013,103599.40969492664,89637.74942061349,116929.96734487856
Prevalence,19,Timor-Leste,Both,20-54 years,Number,2013,212650.5667721044,185662.93419007352,236957.7205209492
Prevalence,19,Timor-Leste,Male,20-54 years,Rate,2013,48019.870150863455,42281.46794062781,53032.46303914921
Prevalence,19,Timor-Leste,Female,20-54 years,Rate,2013,46791.39436200806,40485.51333655119,52812.23349517668
Prevalence,19,Timor-Leste,Both,20-54 years,Rate,2013,47413.42341226644,41396.152591268285,52833.04391991432
Prevalence,6,China,Male,All ages,Number,2013,246895911.4315309,224404303.23387244,270603665.93107265
Prevalence,6,China,Female,All ages,Number,2013,222994087.9527544,200541051.9825481,247705706.391891
Prevalence,6,China,Both,All ages,Number,2013,469889999.3842856,425460799.0718753,518358198.701782
Prevalence,6,China,Male,All ages,Rate,2013,35449.07060979162,32219.74776477694,38853.00653720743
Prevalence,6,China,Female,All ages,Rate,2013,33445.32798014444,30077.75371363457,37151.65127868952
Prevalence,6,China,Both,All ages,Rate,2013,34469.05497911843,31209.925075835883,38024.46801025925
Prevalence,6,China,Male,Age-standardized,Rate,2013,31739.09303609283,28804.4109166449,34722.97199601463
Prevalence,6,China,Female,Age-standardized,Rate,2013,29643.48569914078,26738.38978221991,32665.102179721776
Prevalence,6,China,Both,Age-standardized,Rate,2013,30700.7632998578,27850.480365465068,33728.942189295354
Prevalence,6,China,Male,<20 years,Number,2013,28367686.400650576,22216781.852953568,34569795.69704418
Prevalence,6,China,Female,<20 years,Number,2013,23932625.74753734,18897447.73385969,29558043.089051027
Prevalence,6,China,Both,<20 years,Number,2013,52300312.14818796,41088411.28467473,64113540.28299542
Prevalence,6,China,Male,<20 years,Rate,2013,17194.60136302964,13466.332859706408,20953.90677325098
Prevalence,6,China,Female,<20 years,Rate,2013,16759.76949056421,13233.68657164847,20699.19088655096
Prevalence,6,China,Both,<20 years,Rate,2013,16992.85498420593,13350.00472872091,20831.08202999003
Prevalence,6,China,Male,55+ years,Number,2013,60676709.11603268,52597420.41859467,69322555.29666641
Prevalence,6,China,Female,55+ years,Number,2013,56314866.463737726,48186648.980634965,65640204.49793725
Prevalence,6,China,Both,55+ years,Number,2013,116991575.57977054,100904316.17295688,134956456.311847
Prevalence,6,China,Male,55+ years,Rate,2013,42467.197070170594,36812.56038503365,48518.36330743672
Prevalence,6,China,Female,55+ years,Rate,2013,38377.31865607784,32838.12071345642,44732.32740930939
Prevalence,6,China,Both,55+ years,Rate,2013,40394.99639185718,34840.36750107857,46597.93270377622
Prevalence,6,China,Male,20-54 years,Number,2013,157851515.9148478,136554819.15250832,177590672.38913986
Prevalence,6,China,Female,20-54 years,Number,2013,142746595.74147934,122247829.87487996,163160551.4670184
Prevalence,6,China,Both,20-54 years,Number,2013,300598111.65632707,259017259.1017189,340544928.2963635
Prevalence,6,China,Male,20-54 years,Rate,2013,40618.324630446,35138.26232229872,45697.60094247382
Prevalence,6,China,Female,20-54 years,Rate,2013,37843.33234935192,32408.93578520422,43255.24502631421
Prevalence,6,China,Both,20-54 years,Rate,2013,39251.51404733806,33821.96757030136,44467.69130757808
Prevalence,11,Indonesia,Male,All ages,Number,2013,46450417.52428307,41543188.93046953,50643731.19119695
Prevalence,11,Indonesia,Female,All ages,Number,2013,45313885.48887756,40424286.6203692,49719438.920622975
Prevalence,11,Indonesia,Both,All ages,Number,2013,91764303.01316065,81940213.18110949,100187033.50874136
Prevalence,11,Indonesia,Male,All ages,Rate,2013,36421.2092782476,32573.510826494217,39709.1356903658
Prevalence,11,Indonesia,Female,All ages,Rate,2013,36156.39160777115,32254.93293594534,39671.62570011677
Prevalence,11,Indonesia,Both,All ages,Rate,2013,36289.95729663973,32404.83215781145,39620.88795234246
Prevalence,11,Indonesia,Male,Age-standardized,Rate,2013,36302.4502864055,32703.599658856307,39390.16777241302
Prevalence,11,Indonesia,Female,Age-standardized,Rate,2013,35725.06919188104,32105.41585695551,39029.707429063645
Prevalence,11,Indonesia,Both,Age-standardized,Rate,2013,36014.08925143137,32413.49601256498,39155.35310936195
Prevalence,11,Indonesia,Male,<20 years,Number,2013,10616995.768461796,8295624.102686647,12801523.317906072
Prevalence,11,Indonesia,Female,<20 years,Number,2013,9863732.130583163,7622328.43115355,12095800.553688718
Prevalence,11,Indonesia,Both,<20 years,Number,2013,20480727.89904499,15902981.086899882,24897323.871594787
Prevalence,11,Indonesia,Male,<20 years,Rate,2013,22375.092647451893,17482.851261693668,26978.937970148894
Prevalence,11,Indonesia,Female,<20 years,Rate,2013,21928.63753260014,16945.64239056609,26890.87887799141
Prevalence,11,Indonesia,Both,<20 years,Rate,2013,22157.82792199932,17205.224350779492,26936.084536859067
Prevalence,11,Indonesia,Male,55+ years,Number,2013,6551010.204375047,5505652.1900585415,7610498.509785322
Prevalence,11,Indonesia,Female,55+ years,Number,2013,6959237.84471017,5899398.943651124,8109233.243344347
Prevalence,11,Indonesia,Both,55+ years,Number,2013,13510248.049085204,11413340.190888204,15757386.980550554
Prevalence,11,Indonesia,Male,55+ years,Rate,2013,44702.64704503411,37569.35479058454,51932.36128566624
Prevalence,11,Indonesia,Female,55+ years,Rate,2013,44353.76010923615,37599.02037753685,51683.10007086958
Prevalence,11,Indonesia,Both,55+ years,Rate,2013,44522.24987358422,37612.00993680891,51927.56772147773
Prevalence,11,Indonesia,Male,20-54 years,Number,2013,29282411.55144621,25097098.827290174,32928248.670736685
Prevalence,11,Indonesia,Female,20-54 years,Number,2013,28490915.513584223,24261448.117962293,32212137.47054661
Prevalence,11,Indonesia,Both,20-54 years,Number,2013,57773327.0650304,49358546.94525247,64869245.78047639
Prevalence,11,Indonesia,Male,20-54 years,Rate,2013,44752.41522286454,38355.98668623609,50324.36124618863
Prevalence,11,Indonesia,Female,20-54 years,Rate,2013,44065.31556085136,37523.83340477424,49820.722744145765
Prevalence,11,Indonesia,Both,20-54 years,Rate,2013,44410.91452685575,37942.39177342157,49865.61578036786
Prevalence,34,Azerbaijan,Male,All ages,Number,2013,1182560.5128470603,1028534.2427923664,1332337.2625117144
Prevalence,34,Azerbaijan,Female,All ages,Number,2013,1142591.5926453294,988744.076291554,1294508.8341693203
Prevalence,34,Azerbaijan,Both,All ages,Number,2013,2325152.10549239,2028287.928195607,2647515.1204932136
Prevalence,34,Azerbaijan,Male,All ages,Rate,2013,24539.90921570444,21343.63245615343,27648.00203587222
Prevalence,34,Azerbaijan,Female,All ages,Rate,2013,23425.18342852082,20271.03253697979,26539.76021305265
Prevalence,34,Azerbaijan,Both,All ages,Rate,2013,23979.17262433452,20917.62781762469,27303.68561690223
Prevalence,34,Azerbaijan,Male,Age-standardized,Rate,2013,23753.87313460925,20839.87145695865,26692.45663381842
Prevalence,34,Azerbaijan,Female,Age-standardized,Rate,2013,22067.24265415427,19400.05370857366,24798.764474013627
Prevalence,34,Azerbaijan,Both,Age-standardized,Rate,2013,22891.01248193571,20105.185700277987,25857.34068614138
Prevalence,34,Azerbaijan,Male,<20 years,Number,2013,218682.1645987444,166441.9820754052,276526.9058303822
Prevalence,34,Azerbaijan,Female,<20 years,Number,2013,182681.98948019327,141133.2913366566,230736.7152175932
Prevalence,34,Azerbaijan,Both,<20 years,Number,2013,401364.154078938,309276.14126631233,512106.4267183665
Prevalence,34,Azerbaijan,Male,<20 years,Rate,2013,13450.7124367283,10237.52093547832,17008.62938762073
Prevalence,34,Azerbaijan,Female,<20 years,Rate,2013,12610.84748074216,9742.67039989016,15928.14667771061
Prevalence,34,Azerbaijan,Both,<20 years,Rate,2013,13054.98274307096,10059.67933619004,16657.04447066576
Prevalence,34,Azerbaijan,Male,55+ years,Number,2013,172854.12517130873,136086.7926222511,219253.09104826715
Prevalence,34,Azerbaijan,Female,55+ years,Number,2013,193314.4901993792,154980.59564164063,239913.9485541205
Prevalence,34,Azerbaijan,Both,55+ years,Number,2013,366168.6153706879,290962.815394187,461417.2779036955
Prevalence,34,Azerbaijan,Male,55+ years,Rate,2013,29913.50764682111,23550.68649766173,37943.14430830923
Prevalence,34,Azerbaijan,Female,55+ years,Rate,2013,27203.69399551784,21809.25338152339,33761.28522487585
Prevalence,34,Azerbaijan,Both,55+ years,Rate,2013,28418.982062751293,22582.12933744769,35811.39615396528
Prevalence,34,Azerbaijan,Male,20-54 years,Number,2013,791024.2230770077,649101.2258966968,935906.315019138
Prevalence,34,Azerbaijan,Female,20-54 years,Number,2013,766595.1129657576,623213.9556371827,918151.809982392
Prevalence,34,Azerbaijan,Both,20-54 years,Number,2013,1557619.3360427646,1278768.1441239654,1855851.8148092069
Prevalence,34,Azerbaijan,Male,20-54 years,Rate,2013,30246.27857425397,24819.58950004233,35786.11412601019
Prevalence,34,Azerbaijan,Female,20-54 years,Rate,2013,28200.312921249148,22925.82912231933,33775.545803500725
Prevalence,34,Azerbaijan,Both,20-54 years,Rate,2013,29203.51870244241,23975.388947011943,34795.024643462915
Prevalence,8,Taiwan,Male,All ages,Number,2013,4568951.216730259,4087015.756050228,4994359.207992109
Prevalence,8,Taiwan,Female,All ages,Number,2013,4430819.973267827,3966860.046553138,4876313.59295536
Prevalence,8,Taiwan,Both,All ages,Number,2013,8999771.189998088,8088523.079701807,9828858.945854608
Prevalence,8,Taiwan,Male,All ages,Rate,2013,39106.70023353809,34981.70421175658,42747.86469384379
Prevalence,8,Taiwan,Female,All ages,Rate,2013,37897.62357378541,33929.28842091609,41708.01298371436
Prevalence,8,Taiwan,Both,All ages,Rate,2013,38501.94838582231,34603.535085237854,42048.87122523641
Prevalence,8,Taiwan,Male,Age-standardized,Rate,2013,34301.3544781529,30459.13671504936,37532.57597070322
Prevalence,8,Taiwan,Female,Age-standardized,Rate,2013,33059.77379931745,29556.775288313354,36444.113470212505
Prevalence,8,Taiwan,Both,Age-standardized,Rate,2013,33664.7808701247,29988.43486166578,36962.41767052256
Prevalence,8,Taiwan,Male,<20 years,Number,2013,501824.5014474229,384954.3560111285,638263.2689384305
Prevalence,8,Taiwan,Female,<20 years,Number,2013,465395.0223718515,358773.28266859736,592108.6347837014
Prevalence,8,Taiwan,Both,<20 years,Number,2013,967219.5238192749,748540.0652313404,1225495.0063460758
Prevalence,8,Taiwan,Male,<20 years,Rate,2013,19627.62398347272,15056.53735278597,24964.08885786175
Prevalence,8,Taiwan,Female,<20 years,Rate,2013,19789.290054345827,15255.57475517188,25177.34172939896
Prevalence,8,Taiwan,Both,<20 years,Rate,2013,19705.08150286008,15249.94339991819,24966.90605049201
Prevalence,8,Taiwan,Male,55+ years,Number,2013,1260907.8255961929,1085050.389851103,1449839.4200425611
Prevalence,8,Taiwan,Female,55+ years,Number,2013,1279599.0167078073,1066718.3433267206,1489806.824000257
Prevalence,8,Taiwan,Both,55+ years,Number,2013,2540506.8423040016,2189351.307876397,2931249.886164233
Prevalence,8,Taiwan,Male,55+ years,Rate,2013,45972.24910553152,39560.54978935778,52860.62757973675
Prevalence,8,Taiwan,Female,55+ years,Rate,2013,42758.60612457162,35645.064502716814,49782.83224460475
Prevalence,8,Taiwan,Both,55+ years,Rate,2013,44295.428790910926,38172.79817612163,51108.29399821653
Prevalence,8,Taiwan,Male,20-54 years,Number,2013,2806218.889686644,2410882.007256701,3167810.8658215706
Prevalence,8,Taiwan,Female,20-54 years,Number,2013,2685825.934188166,2300419.916560564,3039632.7485859725
Prevalence,8,Taiwan,Both,20-54 years,Number,2013,5492044.823874813,4749233.11368992,6178047.558728682
Prevalence,8,Taiwan,Male,20-54 years,Rate,2013,43958.36511246703,37765.56130655275,49622.56763319496
Prevalence,8,Taiwan,Female,20-54 years,Rate,2013,42315.21438017136,36243.1387286085,47889.44426969474
Prevalence,8,Taiwan,Both,20-54 years,Rate,2013,43139.15318870546,37304.48337378906,48527.597386772446
Prevalence,26,Papua New Guinea,Male,All ages,Number,2013,1677591.9887432735,1499356.9972371478,1817498.974827769
Prevalence,26,Papua New Guinea,Female,All ages,Number,2013,1566063.5046156335,1418458.586534776,1696854.8862895926
Prevalence,26,Papua New Guinea,Both,All ages,Number,2013,3243655.4933589045,2926954.2398332963,3515476.0403778246
Prevalence,26,Papua New Guinea,Male,All ages,Rate,2013,38967.402077149534,34827.3283137791,42217.186182425845
Prevalence,26,Papua New Guinea,Female,All ages,Rate,2013,39297.289550483474,35593.433871704685,42579.24253719258
Prevalence,26,Papua New Guinea,Both,All ages,Rate,2013,39125.98013877801,35305.83124172681,42404.76401263538
Prevalence,26,Papua New Guinea,Male,Age-standardized,Rate,2013,41821.87574913924,38229.15575970613,44675.22216340863
Prevalence,26,Papua New Guinea,Female,Age-standardized,Rate,2013,41739.48121261362,38269.80164699864,44842.52550121722
Prevalence,26,Papua New Guinea,Both,Age-standardized,Rate,2013,41781.23726192084,38556.45715087078,44785.13533133096
Prevalence,26,Papua New Guinea,Male,<20 years,Number,2013,597518.3386364323,469067.4105773528,708505.0863232124
Prevalence,26,Papua New Guinea,Female,<20 years,Number,2013,545301.4147056537,428560.7125814337,647486.773728982
Prevalence,26,Papua New Guinea,Both,<20 years,Number,2013,1142819.7533420853,899512.5617500667,1355591.2141348792
Prevalence,26,Papua New Guinea,Male,<20 years,Rate,2013,28222.51611558631,22155.40795706135,33464.74061760713
Prevalence,26,Papua New Guinea,Female,<20 years,Rate,2013,28699.45072219579,22555.33677432152,34077.510629491146
Prevalence,26,Papua New Guinea,Both,<20 years,Rate,2013,28448.09441482349,22391.473554032837,33744.59247386732
Prevalence,26,Papua New Guinea,Male,55+ years,Number,2013,156549.24775970803,135324.7159244582,174384.84209140518
Prevalence,26,Papua New Guinea,Female,55+ years,Number,2013,129118.78818349574,111769.82730295116,144138.40229347305
Prevalence,26,Papua New Guinea,Both,55+ years,Number,2013,285668.03594320384,248007.89045589184,317871.01466278447
