measure_name,location,location_name,sex_name,age_name,metric_name,year,val,lower,upper
Prevalence,69,Singapore,Male,All ages,Number,2004,556937.2035133888,474422.06608554337,655078.879948415
Prevalence,69,Singapore,Female,All ages,Number,2004,528985.1487677085,448429.2732762358,617600.8780943335
Prevalence,69,Singapore,Both,All ages,Number,2004,1085922.3522810985,924612.1632186638,1271234.403715261
Prevalence,69,Singapore,Male,All ages,Rate,2004,26475.83096688669,22553.2041124274,31141.31644659419
Prevalence,69,Singapore,Female,All ages,Rate,2004,25641.112835553296,21736.386402579898,29936.51870840631
Prevalence,69,Singapore,Both,All ages,Rate,2004,26062.53202812209,22191.02872950149,30510.08876692076
Prevalence,69,Singapore,Male,Age-standardized,Rate,2004,23232.88955611061,19913.59967457556,26893.00161616615
Prevalence,69,Singapore,Female,Age-standardized,Rate,2004,22652.215865111182,19467.8319109089,26217.339556362575
Prevalence,69,Singapore,Both,Age-standardized,Rate,2004,22941.18506029835,19649.95156260734,26420.019871867167
Prevalence,69,Singapore,Male,<20 years,Number,2004,48270.760886427066,36123.74643849687,60692.04689131681
Prevalence,69,Singapore,Female,<20 years,Number,2004,46982.66161991884,34706.80246426164,60041.53734437683
Prevalence,69,Singapore,Both,<20 years,Number,2004,95253.42250634589,71303.776063024,120194.01642294976
Prevalence,69,Singapore,Male,<20 years,Rate,2004,9231.535095879111,6908.480971042461,11607.04224729704
Prevalence,69,Singapore,Female,<20 years,Rate,2004,8992.59319471094,6642.96455094779,11492.0930723541
Prevalence,69,Singapore,Both,<20 years,Rate,2004,9112.11332492813,6821.04716959946,11497.97529376151
Prevalence,69,Singapore,Male,55+ years,Number,2004,89482.16256664967,71861.28785928994,111441.40811215444
Prevalence,69,Singapore,Female,55+ years,Number,2004,98181.07995044206,79821.76044220051,119938.0793068633
Prevalence,69,Singapore,Both,55+ years,Number,2004,187663.2425170917,151683.04830149046,231871.1743044258
Prevalence,69,Singapore,Male,55+ years,Rate,2004,31659.82315977991,25425.35406388472,39429.257991834136
Prevalence,69,Singapore,Female,55+ years,Rate,2004,30542.584787558357,24831.29017758479,37310.84398680294
Prevalence,69,Singapore,Both,55+ years,Rate,2004,31065.306153633683,25109.2343423249,38383.37716728681
Prevalence,69,Singapore,Male,20-54 years,Number,2004,419184.2800603124,345976.4118345546,510822.6639846836
Prevalence,69,Singapore,Female,20-54 years,Number,2004,383821.407197348,314075.1821781301,458137.1760811716
Prevalence,69,Singapore,Both,20-54 years,Number,2004,803005.6872576603,660614.9996964101,968392.0733387836
Prevalence,69,Singapore,Male,20-54 years,Rate,2004,32293.57948253546,26653.711234243023,39353.31806454288
Prevalence,69,Singapore,Female,20-54 years,Rate,2004,31483.502101847535,25762.46783744175,37579.35976371911
Prevalence,69,Singapore,Both,20-54 years,Rate,2004,31901.2403642578,26244.44412781245,38471.59340044617
Prevalence,33,Armenia,Male,All ages,Number,2004,399837.545082816,351712.1968347024,460015.05636449246
Prevalence,33,Armenia,Female,All ages,Number,2004,417102.2803499038,362425.6926548363,481727.7964998561
Prevalence,33,Armenia,Both,All ages,Number,2004,816939.8254327197,716752.560871346,942383.977894171
Prevalence,33,Armenia,Male,All ages,Rate,2004,25582.57503719057,22503.39863695207,29432.878033613768
Prevalence,33,Armenia,Female,All ages,Rate,2004,24699.11442030749,21461.38746647841,28525.9767825081
Prevalence,33,Armenia,Both,All ages,Rate,2004,25123.75449993327,22042.64600148717,28981.60056371688
Prevalence,33,Armenia,Male,Age-standardized,Rate,2004,24626.619569379192,21644.62907415323,28021.93453888084
Prevalence,33,Armenia,Female,Age-standardized,Rate,2004,23098.45665944307,20074.822872269902,26606.689194001137
Prevalence,33,Armenia,Both,Age-standardized,Rate,2004,23829.61305194242,20893.93351726836,27157.3976332932
Prevalence,33,Armenia,Male,<20 years,Number,2004,82591.25854681137,62619.193650859495,104076.4206055256
Prevalence,33,Armenia,Female,<20 years,Number,2004,72813.98356716767,56050.91236406434,93708.94302738347
Prevalence,33,Armenia,Both,<20 years,Number,2004,155405.2421139791,118494.17513795024,196483.69328170092
Prevalence,33,Armenia,Male,<20 years,Rate,2004,15400.48197665393,11676.36600023569,19406.73950163375
Prevalence,33,Armenia,Female,<20 years,Rate,2004,14491.07565507763,11154.97287488095,18649.48621736279
Prevalence,33,Armenia,Both,<20 years,Rate,2004,14960.58099429814,11407.21947592778,18915.12903563312
Prevalence,33,Armenia,Male,55+ years,Number,2004,69420.66918527376,55256.139412288205,85916.91409204448
Prevalence,33,Armenia,Female,55+ years,Number,2004,87349.64136635447,69470.30239086281,107803.37859557752
Prevalence,33,Armenia,Both,55+ years,Number,2004,156770.31055162812,126036.80098233574,192271.3478940136
Prevalence,33,Armenia,Male,55+ years,Rate,2004,29448.1158031903,23439.54921995289,36445.791510347306
Prevalence,33,Armenia,Female,55+ years,Rate,2004,27229.66680895834,21656.10708448092,33605.748508181634
Prevalence,33,Armenia,Both,55+ years,Rate,2004,28169.37748854028,22647.00638677514,34548.40498815789
Prevalence,33,Armenia,Male,20-54 years,Number,2004,247825.61735073096,201689.0096991142,297497.51335121423
Prevalence,33,Armenia,Female,20-54 years,Number,2004,256938.6554163817,207645.3630845571,309376.04584116605
Prevalence,33,Armenia,Both,20-54 years,Number,2004,504764.2727671128,415917.7187670857,605029.9186387879
Prevalence,33,Armenia,Male,20-54 years,Rate,2004,31334.624436499893,25501.194910561942,37615.049450114566
Prevalence,33,Armenia,Female,20-54 years,Rate,2004,29687.74006542979,23992.19204699351,35746.56999943744
Prevalence,33,Armenia,Both,20-54 years,Rate,2004,30474.11061940275,25110.181631507126,36527.44392460881
Prevalence,22,Fiji,Male,All ages,Number,2004,160516.69970508834,142247.51348285977,175847.5353278225
Prevalence,22,Fiji,Female,All ages,Number,2004,158614.84518105804,141641.50203062664,175906.67541276093
Prevalence,22,Fiji,Both,All ages,Number,2004,319131.54488614644,285044.12242548604,351349.573790267
Prevalence,22,Fiji,Male,All ages,Rate,2004,37157.56483763163,32928.48167787049,40706.45738098337
Prevalence,22,Fiji,Female,All ages,Rate,2004,38318.02694212048,34217.62247245259,42495.37122500031
Prevalence,22,Fiji,Both,All ages,Rate,2004,37725.41791142737,33695.84992149217,41533.99974599349
