measure_name,location,location_name,sex_name,age_name,metric_name,year,val,lower,upper
Prevalence,20,Viet Nam,Male,All ages,Number,2008,19455996.51132851,18169536.08627692,20600647.07639096
Prevalence,20,Viet Nam,Female,All ages,Number,2008,20569729.31016752,19330073.600308858,21628088.55933626
Prevalence,20,Viet Nam,Both,All ages,Number,2008,40025725.82149601,37563704.15776549,42167203.681069374
Prevalence,20,Viet Nam,Male,All ages,Rate,2008,44762.679295938215,41802.90206736133,47396.19262536189
Prevalence,20,Viet Nam,Female,All ages,Rate,2008,46138.83019722735,43358.22655204864,48512.77770760736
Prevalence,20,Viet Nam,Both,All ages,Rate,2008,45459.48769571293,42663.23000814266,47891.68559868345
Prevalence,20,Viet Nam,Male,Age-standardized,Rate,2008,44156.87310911589,41309.73775338822,46608.27854443112
Prevalence,20,Viet Nam,Female,Age-standardized,Rate,2008,44844.87646652998,42146.66046123858,47071.56607103019
Prevalence,20,Viet Nam,Both,Age-standardized,Rate,2008,44502.107201064304,42017.13360113315,46880.61607735454
Prevalence,20,Viet Nam,Male,<20 years,Number,2008,5155163.899324011,4399729.932101891,5881596.975737078
Prevalence,20,Viet Nam,Female,<20 years,Number,2008,5073726.164048569,4263014.91076175,5745526.752293213
Prevalence,20,Viet Nam,Both,<20 years,Number,2008,10228890.063372586,8664751.153718136,11600868.6612303
Prevalence,20,Viet Nam,Male,<20 years,Rate,2008,31538.271740728414,26916.6763451772,35982.44543002137
Prevalence,20,Viet Nam,Female,<20 years,Rate,2008,32810.55534327434,27567.882486417377,37154.92665295036
Prevalence,20,Viet Nam,Both,<20 years,Rate,2008,32156.774065101978,27239.558100068018,36469.89166829575
Prevalence,20,Viet Nam,Male,55+ years,Number,2008,2263488.346667435,2036288.488899256,2431593.922414004
Prevalence,20,Viet Nam,Female,55+ years,Number,2008,3247248.3008766687,2979750.4161172016,3451451.0176814627
Prevalence,20,Viet Nam,Both,55+ years,Number,2008,5510736.647544104,5003923.416926667,5860800.786810187
Prevalence,20,Viet Nam,Male,55+ years,Rate,2008,53517.67266271434,48145.78389865031,57492.34264006496
Prevalence,20,Viet Nam,Female,55+ years,Rate,2008,54260.09354586823,49790.32132473808,57672.23129743998
Prevalence,20,Viet Nam,Both,55+ years,Rate,2008,53952.67184355881,48990.73487100133,57379.962392534304
Prevalence,20,Viet Nam,Male,20-54 years,Number,2008,12037344.265337078,11253904.650707029,12745339.162205026
Prevalence,20,Viet Nam,Female,20-54 years,Number,2008,12248754.845242262,11365000.642549744,12965375.45886338
Prevalence,20,Viet Nam,Both,20-54 years,Number,2008,24286099.11057936,22682672.4469097,25633204.24693061
Prevalence,20,Viet Nam,Male,20-54 years,Rate,2008,52588.68268942995,49165.99605756643,55681.7668578657
Prevalence,20,Viet Nam,Female,20-54 years,Rate,2008,52947.09007699748,49126.92925517635,56044.79075431721
Prevalence,20,Viet Nam,Both,20-54 years,Rate,2008,52768.83779097337,49284.91222764373,55695.82792239971
Prevalence,48,Hungary,Male,All ages,Number,2008,924021.0164584736,807075.8962763447,1058399.0309986826
Prevalence,48,Hungary,Female,All ages,Number,2008,950398.4093290322,818627.7230527095,1087803.4516459676
Prevalence,48,Hungary,Both,All ages,Number,2008,1874419.4257875064,1639330.2972031564,2134455.982896366
Prevalence,48,Hungary,Male,All ages,Rate,2008,19430.84903752802,16971.65932705607,22256.62774600494
Prevalence,48,Hungary,Female,All ages,Rate,2008,18061.61158829187,15557.40816067266,20672.8917422153
Prevalence,48,Hungary,Both,All ages,Rate,2008,18711.61143488562,16364.80667704009,21307.45681961972
Prevalence,48,Hungary,Male,Age-standardized,Rate,2008,17330.242677989878,15155.41243381984,19714.21443603511
Prevalence,48,Hungary,Female,Age-standardized,Rate,2008,16074.4917890438,13900.00438623071,18299.600926464827
Prevalence,48,Hungary,Both,Age-standardized,Rate,2008,16684.32690543673,14588.0900266507,18947.06992848613
Prevalence,48,Hungary,Male,<20 years,Number,2008,110884.299749717,86425.13825178241,139399.0769009136
Prevalence,48,Hungary,Female,<20 years,Number,2008,97372.50737625074,76555.16803841843,122040.01601001609
Prevalence,48,Hungary,Both,<20 years,Number,2008,208256.8071259678,163050.04242458864,261206.6502822967
Prevalence,48,Hungary,Male,<20 years,Rate,2008,10087.16067927981,7862.10724369863,12681.15405351952
Prevalence,48,Hungary,Female,<20 years,Rate,2008,9320.6348664653,7327.96954349587,11681.84386925189
Prevalence,48,Hungary,Both,<20 years,Rate,2008,9713.651768569487,7605.087943199571,12183.37338160588
Prevalence,48,Hungary,Male,55+ years,Number,2008,252377.95218444092,202108.89259275084,311621.1092505354
Prevalence,48,Hungary,Female,55+ years,Number,2008,325947.6118550837,263559.9229800189,403910.7203248743
Prevalence,48,Hungary,Both,55+ years,Number,2008,578325.5640395249,466610.6951335812,710991.7659578575
Prevalence,48,Hungary,Male,55+ years,Rate,2008,21271.23672763685,17034.39647516867,26264.44317668716
Prevalence,48,Hungary,Female,55+ years,Rate,2008,18741.33184454632,15154.16526410289,23224.05371248355
Prevalence,48,Hungary,Both,55+ years,Rate,2008,19767.30983421538,15948.86817424819,24301.87320286672
Prevalence,48,Hungary,Male,20-54 years,Number,2008,560758.7645243148,465369.3204699947,680721.894348668
Prevalence,48,Hungary,Female,20-54 years,Number,2008,527078.2900976975,432581.0774549141,634504.7337802728
Prevalence,48,Hungary,Both,20-54 years,Number,2008,1087837.0546220131,898300.995641653,1313336.5525504416
Prevalence,48,Hungary,Male,20-54 years,Rate,2008,22705.57785559985,18843.18178513442,27562.982423032463
Prevalence,48,Hungary,Female,20-54 years,Rate,2008,21269.53279599671,17456.225359138698,25604.58189589478
Prevalence,48,Hungary,Both,20-54 years,Rate,2008,21986.337114316422,18155.61295360183,26543.92040263919
Prevalence,7,Democratic People's Republic of Korea,Male,All ages,Number,2008,4994113.704658006,4577357.268336268,5377139.928995205
Prevalence,7,Democratic People's Republic of Korea,Female,All ages,Number,2008,5207470.567504352,4800188.831387501,5596776.214006388
Prevalence,7,Democratic People's Republic of Korea,Both,All ages,Number,2008,10201584.272162369,9400819.977824228,10933512.002215112
Prevalence,7,Democratic People's Republic of Korea,Male,All ages,Rate,2008,40803.45019759283,37398.42149788183,43932.89265592885
Prevalence,7,Democratic People's Republic of Korea,Female,All ages,Rate,2008,40589.88767355174,37415.30997672672,43624.34984810611
Prevalence,7,Democratic People's Republic of Korea,Both,All ages,Rate,2008,40694.15566424976,37499.90406814333,43613.8179624895
Prevalence,7,Democratic People's Republic of Korea,Male,Age-standardized,Rate,2008,39607.22879650896,36322.196639335954,42861.31095999109
Prevalence,7,Democratic People's Republic of Korea,Female,Age-standardized,Rate,2008,38626.26864811623,35442.292288818426,41727.46727235266
Prevalence,7,Democratic People's Republic of Korea,Both,Age-standardized,Rate,2008,39061.94280633674,35952.21517698558,42038.29921031217
Prevalence,7,Democratic People's Republic of Korea,Male,<20 years,Number,2008,995085.7042035896,772896.7859690982,1229187.07409727
Prevalence,7,Democratic People's Republic of Korea,Female,<20 years,Number,2008,947664.4469384036,737687.9372167686,1169618.817929048
Prevalence,7,Democratic People's Republic of Korea,Both,<20 years,Number,2008,1942750.1511419928,1512803.4370446815,2381041.035847048
Prevalence,7,Democratic People's Republic of Korea,Male,<20 years,Rate,2008,23973.67793581538,18620.68618429174,29613.665348413226
Prevalence,7,Democratic People's Republic of Korea,Female,<20 years,Rate,2008,23889.25679952131,18596.05119408472,29484.407048643567
Prevalence,7,Democratic People's Republic of Korea,Both,<20 years,Rate,2008,23932.42328967972,18635.97961279453,29331.65744781565
Prevalence,7,Democratic People's Republic of Korea,Male,55+ years,Number,2008,844569.5544525301,736547.2252608598,927407.9016705262
Prevalence,7,Democratic People's Republic of Korea,Female,55+ years,Number,2008,1217408.1650995126,1068115.6464177205,1373466.8083893298
Prevalence,7,Democratic People's Republic of Korea,Both,55+ years,Number,2008,2061977.7195520413,1828586.697372088,2294703.3956175563
Prevalence,7,Democratic People's Republic of Korea,Male,55+ years,Rate,2008,51183.75425729963,44637.23796092237,56204.03658305222
Prevalence,7,Democratic People's Republic of Korea,Female,55+ years,Rate,2008,48773.77253990386,42792.574485839694,55026.04600817111
Prevalence,7,Democratic People's Republic of Korea,Both,55+ years,Rate,2008,49732.90117756666,44103.73625898134,55346.0185936768
Prevalence,7,Democratic People's Republic of Korea,Male,20-54 years,Number,2008,3154458.446001889,2821309.429759918,3448490.874809809
Prevalence,7,Democratic People's Republic of Korea,Female,20-54 years,Number,2008,3042397.9554664344,2719546.247949804,3350911.156469445
Prevalence,7,Democratic People's Republic of Korea,Both,20-54 years,Number,2008,6196856.401468324,5559797.269676902,6772008.513454294
Prevalence,7,Democratic People's Republic of Korea,Male,20-54 years,Rate,2008,48992.7458009176,43818.51848235653,53559.442838905525
Prevalence,7,Democratic People's Republic of Korea,Female,20-54 years,Rate,2008,47787.29898541236,42716.229618130055,52633.15176111119
Prevalence,7,Democratic People's Republic of Korea,Both,20-54 years,Rate,2008,48393.41523099212,43418.39804579925,52884.9788840928
