measure_name,location,location_name,sex_name,age_name,metric_name,year,val,lower,upper
Prevalence,38,Mongolia,Male,All ages,Number,2010,400508.3393599237,349086.65125168755,459571.054631738
Prevalence,38,Mongolia,Female,All ages,Number,2010,384159.4907800688,332315.329877577,438274.2564183716
Prevalence,38,Mongolia,Both,All ages,Number,2010,784667.8301399929,687726.7384022451,890384.3154877159
Prevalence,38,Mongolia,Male,All ages,Rate,2010,29557.887240415508,25762.91892279163,33916.77045594872
Prevalence,38,Mongolia,Female,All ages,Rate,2010,27979.064680979947,24203.15606480473,31920.34574868356
Prevalence,38,Mongolia,Both,All ages,Rate,2010,28763.25909472155,25209.7277385545,32638.46659252017
Prevalence,38,Mongolia,Male,Age-standardized,Rate,2010,29856.730327810983,26425.52023942304,33757.4207212439
Prevalence,38,Mongolia,Female,Age-standardized,Rate,2010,27965.251256092,24321.70327248853,31587.01145812886
Prevalence,38,Mongolia,Both,Age-standardized,Rate,2010,28890.77081699314,25519.88561317838,32307.312213604688
Prevalence,38,Mongolia,Male,<20 years,Number,2010,93205.37030830124,71602.01062229025,116883.39947208286
Prevalence,38,Mongolia,Female,<20 years,Number,2010,82570.74372206707,63375.39161382733,104006.5818643238
Prevalence,38,Mongolia,Both,<20 years,Number,2010,175776.11403036828,133937.59289288233,220549.7795926848
Prevalence,38,Mongolia,Male,<20 years,Rate,2010,17711.20910125916,13606.0634489965,22210.59067378318
Prevalence,38,Mongolia,Female,<20 years,Rate,2010,16207.575473624,12439.77462779077,20415.15492453023
Prevalence,38,Mongolia,Both,<20 years,Rate,2010,16971.58228536681,12931.97822368965,21294.581195088213
Prevalence,38,Mongolia,Male,55+ years,Number,2010,36495.44954480065,29788.53065539941,44198.41726570626
Prevalence,38,Mongolia,Female,55+ years,Number,2010,43462.704731743215,34718.05196340346,53008.38136204935
Prevalence,38,Mongolia,Both,55+ years,Number,2010,79958.15427654388,64857.9537586632,96024.17222405196
Prevalence,38,Mongolia,Male,55+ years,Rate,2010,37234.28697768118,30391.58889398067,45093.19854823
Prevalence,38,Mongolia,Female,55+ years,Rate,2010,34710.299510180696,27726.62192787138,42333.69287491226
Prevalence,38,Mongolia,Both,55+ years,Rate,2010,35818.52413717014,29054.14967630934,43015.55184307152
