max_joinpoints_setting,selected_joinpoints,countries,proportion
0,0,204,1
1,0,15,0.07352941176470588
1,1,189,0.9264705882352942
2,0,6,0.029411764705882353
2,1,87,0.4264705882352941
2,2,111,0.5441176470588235
3,0,8,0.0392156862745098
3,1,87,0.4264705882352941
3,2,69,0.3382352941176471
3,3,40,0.19607843137254902
