comparison,start_year,end_year,component,contribution_cases,contribution_million,contribution_pct,total_change_cases
Observed 1990 to 2023,1990,2023,Population growth,725185889.6974088,725.1858896974088,2.5727861627270268,281867922.1007421
Observed 1990 to 2023,1990,2023,Population ageing,66938861.90260454,66.93886190260454,0.2374830786125425,281867922.1007421
Observed 1990 to 2023,1990,2023,Epidemiologic change,-510256829.4992709,-510.2568294992709,-1.8102692413395682,281867922.1007421
Projected 2024 to 2050,2024,2050,Population growth,352209913.17446786,352.2099131744679,0.8830845567706206,398840530.58574057
Projected 2024 to 2050,2024,2050,Population ageing,47053656.543813504,47.0536565438135,0.11797611560367274,398840530.58574057
Projected 2024 to 2050,2024,2050,Epidemiologic change,-423039.1325407823,-0.4230391325407823,-0.0010606723742933133,398840530.58574057
