year,broad_age_group,fine_age_group,population,prevalence_per_100k,cases,scenario,older_to_55_69_rate_ratio,source,total_cases,case_share
1990,20-54,20-39,1656306639,35482.453963658154,587698240.6801887,older_much_higher_1.5,1.5,GBD observed,1578454768.2694108,0.37232504376703196
1990,20-54,40-54,713268622,35482.453963658154,253085210.43836892,older_much_higher_1.5,1.5,GBD observed,1578454768.2694108,0.16033732199741582
1990,55+,55-69,460127127.5,28725.228563149332,132172569.05542853,older_much_higher_1.5,1.5,GBD observed,1578454768.2694108,0.08373541751870416
1990,55+,70+,198323037,43087.842844724,85453118.50744383,older_much_higher_1.5,1.5,GBD observed,1578454768.2694108,0.05413719811631541
2023,<20,<20,2660055667.5,15684.739677027528,417222806.711392,older_much_higher_1.5,1.5,GBD observed,1875400243.1776772,0.22247134083999578
2023,20-54,20-39,2396257173,27129.43140409434,650090946.0147252,older_much_higher_1.5,1.5,GBD observed,1875400243.1776772,0.34664117613273393
2023,20-54,40-54,1451418332,27129.43140409434,393761540.76639026,older_much_higher_1.5,1.5,GBD observed,1875400243.1776772,0.209961336092823
2023,55+,55-69,1033239904,22924.99896364313,236870237.2839473,older_much_higher_1.5,1.5,GBD observed,1875400243.1776772,0.12630383201966236
2023,55+,70+,516044261.5,34387.4984454647,177454712.4012223,older_much_higher_1.5,1.5,GBD observed,1875400243.1776772,0.09462231491478487
2024,<20,<20,2660288891,15796.22483898044,420225214.58877933,older_much_higher_1.5,1.5,APC projected,1879651040.6276999,0.22356554780958027
2024,20-54,20-39,2407071461.5,27071.907365477167,651640156.2781174,older_much_higher_1.5,1.5,APC projected,1879651040.6276999,0.3466814542663757
2024,20-54,40-54,1466933773.5,27071.907365477167,397126952.2748186,older_much_higher_1.5,1.5,APC projected,1879651040.6276999,0.21127695710061165
2024,55+,55-69,1056453950,22062.462984101236,233079761.66282538,older_much_higher_1.5,1.5,APC projected,1879651040.6276999,0.12400161339787281
2024,55+,70+,536594534.5,33093.69447615185,177578955.82315925,older_much_higher_1.5,1.5,APC projected,1879651040.6276999,0.09447442742555962
2050,<20,<20,2607342916.5,15829.482320095787,412728885.99163735,older_much_higher_1.5,1.5,APC projected,2278491571.21344,0.18114128277061534
2050,20-54,20-39,2605345437.5,27128.029599398928,706778881.4515895,older_much_higher_1.5,1.5,APC projected,2278491571.21344,0.3101959605122372
2050,20-54,40-54,1783905025.5,27128.029599398928,483938283.342805,older_much_higher_1.5,1.5,APC projected,2278491571.21344,0.2123941512257065
2050,55+,55-69,1517470487,21122.7876984448,320532069.3555664,older_much_higher_1.5,1.5,APC projected,2278491571.21344,0.1406773118694764
2050,55+,70+,1118897297.5,31684.181547667202,354513451.07184196,older_much_higher_1.5,1.5,APC projected,2278491571.21344,0.15559129362196467
