location_name,joinpoint_model,aapc_index,start_obs,end_obs,aapc,aapc_c_i_low,aapc_c_i_high,statistically_significant_0_no_1_yes,test_statistic,p_value,p_value_label,legend,Year,Value,Label,Measure
High-middle SDI,3,2019.000-2023.000,2019,2023,0.58,0.52,0.65,1,18.683,0,***,"2019~2023
0.58(0.52~0.65)***",2019~2023,0.58 (0.52~0.65),Prevalence,Number
High-middle SDI,3,1990.000-2019.000,1990,2019,0.80,0.71,0.90,1,16.177,0,***,"1990~2019
0.80(0.71~0.90)***",1990~2019,0.80 (0.71~0.90),Prevalence,Number
High-middle SDI,3,1990.000-2023.000,1990,2023,0.78,0.69,0.87,1,17.441,0,***,"1990~2023
0.78(0.69~0.87)***",1990~2023,0.78 (0.69~0.87),Prevalence,Number
Low SDI,3,Full Range,1990,2023,0.82,0.80,0.84,1,83.778,0,***,"1990~2023
0.82(0.80~0.84)***",1990~2023,0.82 (0.80~0.84),Prevalence,Number
Low SDI,3,1990.000-1999.000,1990,1999,1.40,1.36,1.44,1,71.277,0,***,"1990~1999
1.40(1.36~1.44)***",1990~1999,1.40 (1.36~1.44),Prevalence,Number
Low SDI,3,1999.000-2019.000,1999,2019,0.71,0.69,0.73,1,83.374,0,***,"1999~2019
0.71(0.69~0.73)***",1999~2019,0.71 (0.69~0.73),Prevalence,Number
Low SDI,3,2019.000-2023.000,2019,2023,0.08,0.00,0.15,1,2.075,0.049,*,"2019~2023
0.08(0.00~0.15)*",2019~2023,0.08 (0.00~0.15),Prevalence,Number
Low SDI,3,1990.000-2019.000,1990,2019,0.92,0.91,0.94,1,99.934,0,***,"1990~2019
0.92(0.91~0.94)***",1990~2019,0.92 (0.91~0.94),Prevalence,Number
Low SDI,3,1990.000-2023.000,1990,2023,0.82,0.80,0.84,1,83.778,0,***,"1990~2023
0.82(0.80~0.84)***",1990~2023,0.82 (0.80~0.84),Prevalence,Number
Low-middle SDI,3,Full Range,1990,2023,0.50,0.42,0.58,1,12.497,0,***,"1990~2023
0.50(0.42~0.58)***",1990~2023,0.50 (0.42~0.58),Prevalence,Number
Low-middle SDI,3,1990.000-1999.000,1990,1999,1.14,0.98,1.30,1,14.23,0,***,"1990~1999
1.14(0.98~1.30)***",1990~1999,1.14 (0.98~1.30),Prevalence,Number
Low-middle SDI,3,1999.000-2019.000,1999,2019,0.36,0.28,0.44,1,8.762,0,***,"1999~2019
0.36(0.28~0.44)***",1999~2019,0.36 (0.28~0.44),Prevalence,Number
