year,total_population,cases_mean,cases_lwr,cases_upr,rate_mean,rate_lwr,rate_upr
2024,8127342610.5,1879651040.6276999,1834586516.1166704,1929241676.7416825,23127.498503622974,22573.01807046381,23737.66886914829
2050,9632961164,2278491571.2134404,1976569671.4413736,2614373123.4554014,23653.075439861084,20518.816984627196,27139.869858769438
