model,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
model2,0,0,-718.8222498619654,6.054330703625811,18.041073187667976,3.2915084683724065,1437.6444997239307,12.108661407251622
model1,-6371571.2315441705,1156094.9841499093,-6372290.053794031,1156097.7026417265,6240502.462230716,1137902.0645022965,12744580.107588062,2312195.405283453
